Source,Target
94770493,62517849
94770493,56832966
94770493,68679595
94770493,90448279
94770493,34755994
24224830,65681983
24224830,24299458
24224830,10045474
24224830,23002292
24224830,97300502
24224830,75286621
24224830,84013238
24224830,84013239
24224830,21044178
24224830,86532744
24224830,82633039
24224830,82697249
24224830,6983839
24224830,62517849
24224830,56832966
24224830,68679595
24224830,90448279
24224830,34755994
65681983,24299458
65681983,10045474
65681983,23002292
65681983,97300502
65681983,75286621
65681983,84013238
65681983,84013239
65681983,21044178
65681983,86532744
65681983,82633039
65681983,82697249
65681983,6983839
65681983,62517849
65681983,56832966
65681983,68679595
65681983,90448279
65681983,34755994
24299458,10045474
24299458,23002292
24299458,97300502
24299458,75286621
24299458,84013238
24299458,84013239
24299458,21044178
24299458,86532744
24299458,82633039
24299458,82697249
24299458,6983839
24299458,62517849
24299458,56832966
24299458,68679595
24299458,90448279
24299458,34755994
10045474,23002292
10045474,97300502
10045474,75286621
10045474,84013238
10045474,84013239
10045474,21044178
10045474,86532744
10045474,82633039
10045474,82697249
10045474,6983839
10045474,62517849
10045474,56832966
10045474,68679595
10045474,90448279
10045474,34755994
23002292,97300502
23002292,75286621
23002292,84013238
23002292,84013239
23002292,21044178
23002292,86532744
23002292,82633039
23002292,82697249
23002292,6983839
23002292,62517849
23002292,56832966
23002292,68679595
23002292,90448279
23002292,34755994
97300502,75286621
97300502,84013238
97300502,84013239
97300502,21044178
97300502,86532744
97300502,82633039
97300502,82697249
97300502,6983839
97300502,62517849
97300502,56832966
97300502,68679595
97300502,90448279
97300502,34755994
75286621,84013238
75286621,84013239
75286621,21044178
75286621,86532744
75286621,82633039
75286621,82697249
75286621,6983839
75286621,62517849
75286621,56832966
75286621,68679595
75286621,90448279
75286621,34755994
84013238,84013239
84013238,21044178
84013238,86532744
84013238,82633039
84013238,82697249
84013238,6983839
84013238,62517849
84013238,56832966
84013238,68679595
84013238,90448279
84013238,34755994
84013239,21044178
84013239,86532744
84013239,82633039
84013239,82697249
84013239,6983839
84013239,62517849
84013239,56832966
84013239,68679595
84013239,90448279
84013239,34755994
21044178,86532744
21044178,82633039
21044178,82697249
21044178,6983839
21044178,62517849
21044178,56832966
21044178,68679595
21044178,90448279
21044178,34755994
86532744,82633039
86532744,82697249
86532744,6983839
86532744,62517849
86532744,56832966
86532744,68679595
86532744,90448279
86532744,34755994
82633039,82697249
82633039,6983839
82633039,62517849
82633039,56832966
82633039,68679595
82633039,90448279
82633039,34755994
82697249,6983839
82697249,62517849
82697249,56832966
82697249,68679595
82697249,90448279
82697249,34755994
6983839,62517849
6983839,56832966
6983839,68679595
6983839,90448279
6983839,34755994
62517849,56832966
62517849,68679595
62517849,90448279
62517849,34755994
56832966,68679595
56832966,90448279
56832966,34755994
68679595,90448279
68679595,34755994
90448279,34755994
46986414,38033121
46986414,74677422
46986414,20747792
46986414,8487449
46986414,97631303
46986414,7084129
46986414,7198399
46986414,30603688
46986414,2314238
46986414,1784686
46986414,11827244
46986414,95477924
46986414,47222536
46986414,23020408
46986414,59514116
46986414,7922915
46986414,48680970
46986414,43892408
46986414,41721210
46986414,50237654
46986414,96471335
46986414,44405066
46986414,31226177
46986414,41999284
46986414,65741786
46986414,70369116
46986414,38342335
46986414,45819647
46986414,86066372
38033121,74677422
38033121,20747792
38033121,8487449
38033121,97631303
38033121,7084129
38033121,7198399
38033121,30603688
38033121,2314238
38033121,1784686
38033121,11827244
38033121,95477924
38033121,47222536
38033121,23020408
38033121,59514116
38033121,7922915
38033121,48680970
38033121,43892408
38033121,41721210
38033121,50237654
38033121,96471335
38033121,44405066
38033121,31226177
38033121,41999284
38033121,65741786
38033121,70369116
38033121,38342335
38033121,45819647
38033121,86066372
74677422,20747792
74677422,8487449
74677422,97631303
74677422,7084129
74677422,7198399
74677422,30603688
74677422,2314238
74677422,1784686
74677422,11827244
74677422,95477924
74677422,47222536
74677422,23020408
74677422,59514116
74677422,7922915
74677422,48680970
74677422,43892408
74677422,41721210
74677422,50237654
74677422,96471335
74677422,44405066
74677422,31226177
74677422,41999284
74677422,65741786
74677422,70369116
74677422,38342335
74677422,45819647
74677422,86066372
20747792,8487449
20747792,97631303
20747792,7084129
20747792,7198399
20747792,30603688
20747792,2314238
20747792,1784686
20747792,11827244
20747792,95477924
20747792,47222536
20747792,23020408
20747792,59514116
20747792,7922915
20747792,48680970
20747792,43892408
20747792,41721210
20747792,50237654
20747792,96471335
20747792,44405066
20747792,31226177
20747792,41999284
20747792,65741786
20747792,70369116
20747792,38342335
20747792,45819647
20747792,86066372
8487449,97631303
8487449,7084129
8487449,7198399
8487449,30603688
8487449,2314238
8487449,1784686
8487449,11827244
8487449,95477924
8487449,47222536
8487449,23020408
8487449,59514116
8487449,7922915
8487449,48680970
8487449,43892408
8487449,41721210
8487449,50237654
8487449,96471335
8487449,44405066
8487449,31226177
8487449,41999284
8487449,65741786
8487449,70369116
8487449,38342335
8487449,45819647
8487449,86066372
97631303,7084129
97631303,7198399
97631303,30603688
97631303,2314238
97631303,1784686
97631303,11827244
97631303,95477924
97631303,47222536
97631303,23020408
97631303,59514116
97631303,7922915
97631303,48680970
97631303,43892408
97631303,41721210
97631303,50237654
97631303,96471335
97631303,44405066
97631303,31226177
97631303,41999284
97631303,65741786
97631303,70369116
97631303,38342335
97631303,45819647
97631303,86066372
7084129,7198399
7084129,30603688
7084129,2314238
7084129,1784686
7084129,11827244
7084129,95477924
7084129,47222536
7084129,23020408
7084129,59514116
7084129,7922915
7084129,48680970
7084129,43892408
7084129,41721210
7084129,50237654
7084129,96471335
7084129,44405066
7084129,31226177
7084129,41999284
7084129,65741786
7084129,70369116
7084129,38342335
7084129,45819647
7084129,86066372
7198399,30603688
7198399,2314238
7198399,1784686
7198399,11827244
7198399,95477924
7198399,47222536
7198399,23020408
7198399,59514116
7198399,7922915
7198399,48680970
7198399,43892408
7198399,41721210
7198399,50237654
7198399,96471335
7198399,44405066
7198399,31226177
7198399,41999284
7198399,65741786
7198399,70369116
7198399,38342335
7198399,45819647
7198399,86066372
30603688,2314238
30603688,1784686
30603688,11827244
30603688,95477924
30603688,47222536
30603688,23020408
30603688,59514116
30603688,7922915
30603688,48680970
30603688,43892408
30603688,41721210
30603688,50237654
30603688,96471335
30603688,44405066
30603688,31226177
30603688,41999284
30603688,65741786
30603688,70369116
30603688,38342335
30603688,45819647
30603688,86066372
2314238,1784686
2314238,11827244
2314238,95477924
2314238,47222536
2314238,23020408
2314238,59514116
2314238,7922915
2314238,48680970
2314238,43892408
2314238,41721210
2314238,50237654
2314238,96471335
2314238,44405066
2314238,31226177
2314238,41999284
2314238,65741786
2314238,70369116
2314238,38342335
2314238,45819647
2314238,86066372
1784686,11827244
1784686,95477924
1784686,47222536
1784686,23020408
1784686,59514116
1784686,7922915
1784686,48680970
1784686,43892408
1784686,41721210
1784686,50237654
1784686,96471335
1784686,44405066
1784686,31226177
1784686,41999284
1784686,65741786
1784686,70369116
1784686,38342335
1784686,45819647
1784686,86066372
11827244,95477924
11827244,47222536
11827244,23020408
11827244,59514116
11827244,7922915
11827244,48680970
11827244,43892408
11827244,41721210
11827244,50237654
11827244,96471335
11827244,44405066
11827244,31226177
11827244,41999284
11827244,65741786
11827244,70369116
11827244,38342335
11827244,45819647
11827244,86066372
95477924,47222536
95477924,23020408
95477924,59514116
95477924,7922915
95477924,48680970
95477924,43892408
95477924,41721210
95477924,50237654
95477924,96471335
95477924,44405066
95477924,31226177
95477924,41999284
95477924,65741786
95477924,70369116
95477924,38342335
95477924,45819647
95477924,86066372
47222536,23020408
47222536,59514116
47222536,7922915
47222536,48680970
47222536,43892408
47222536,41721210
47222536,50237654
47222536,96471335
47222536,44405066
47222536,31226177
47222536,41999284
47222536,65741786
47222536,70369116
47222536,38342335
47222536,45819647
47222536,86066372
23020408,59514116
23020408,7922915
23020408,48680970
23020408,43892408
23020408,41721210
23020408,50237654
23020408,96471335
23020408,44405066
23020408,31226177
23020408,41999284
23020408,65741786
23020408,70369116
23020408,38342335
23020408,45819647
23020408,86066372
59514116,7922915
59514116,48680970
59514116,43892408
59514116,41721210
59514116,50237654
59514116,96471335
59514116,44405066
59514116,31226177
59514116,41999284
59514116,65741786
59514116,70369116
59514116,38342335
59514116,45819647
59514116,86066372
7922915,48680970
7922915,43892408
7922915,41721210
7922915,50237654
7922915,96471335
7922915,44405066
7922915,31226177
7922915,41999284
7922915,65741786
7922915,70369116
7922915,38342335
7922915,45819647
7922915,86066372
48680970,43892408
48680970,41721210
48680970,50237654
48680970,96471335
48680970,44405066
48680970,31226177
48680970,41999284
48680970,65741786
48680970,70369116
48680970,38342335
48680970,45819647
48680970,86066372
43892408,41721210
43892408,50237654
43892408,96471335
43892408,44405066
43892408,31226177
43892408,41999284
43892408,65741786
43892408,70369116
43892408,38342335
43892408,45819647
43892408,86066372
41721210,50237654
41721210,96471335
41721210,44405066
41721210,31226177
41721210,41999284
41721210,65741786
41721210,70369116
41721210,38342335
41721210,45819647
41721210,86066372
50237654,96471335
50237654,44405066
50237654,31226177
50237654,41999284
50237654,65741786
50237654,70369116
50237654,38342335
50237654,45819647
50237654,86066372
96471335,44405066
96471335,31226177
96471335,41999284
96471335,65741786
96471335,70369116
96471335,38342335
96471335,45819647
96471335,86066372
44405066,31226177
44405066,41999284
44405066,65741786
44405066,70369116
44405066,38342335
44405066,45819647
44405066,86066372
31226177,41999284
31226177,65741786
31226177,70369116
31226177,38342335
31226177,45819647
31226177,86066372
41999284,65741786
41999284,70369116
41999284,38342335
41999284,45819647
41999284,86066372
65741786,70369116
65741786,38342335
65741786,45819647
65741786,86066372
70369116,38342335
70369116,45819647
70369116,86066372
38342335,45819647
38342335,86066372
45819647,86066372
87074380,52481437
87074380,13647631
87074380,69838761
87074380,5556499
87074380,97316367
87074380,76830505
87074380,61912252
87074380,62034800
87074380,60953949
87074380,23434538
87074380,35645105
87074380,34721681
87074380,86852702
87074380,65681983
87074380,25274141
87074380,17427333
87074380,59741415
87074380,53582587
87074380,80101899
87074380,90448279
87074380,26096328
87074380,49032236
87074380,56910167
87074380,97584719
87074380,95113856
87074380,9349094
87074380,93854893
87074380,24701066
87074380,10547580
87074380,146746
87074380,23689428
52481437,13647631
52481437,69838761
52481437,5556499
52481437,97316367
52481437,76830505
52481437,61912252
52481437,62034800
52481437,60953949
52481437,23434538
52481437,35645105
52481437,34721681
52481437,86852702
52481437,65681983
52481437,25274141
52481437,17427333
52481437,59741415
52481437,53582587
52481437,80101899
52481437,90448279
52481437,26096328
52481437,49032236
52481437,56910167
52481437,97584719
52481437,95113856
52481437,9349094
52481437,93854893
52481437,24701066
52481437,10547580
52481437,146746
52481437,23689428
13647631,69838761
13647631,5556499
13647631,97316367
13647631,76830505
13647631,61912252
13647631,62034800
13647631,60953949
13647631,23434538
13647631,35645105
13647631,34721681
13647631,86852702
13647631,65681983
13647631,25274141
13647631,17427333
13647631,59741415
13647631,53582587
13647631,80101899
13647631,90448279
13647631,26096328
13647631,49032236
13647631,56910167
13647631,97584719
13647631,95113856
13647631,9349094
13647631,93854893
13647631,24701066
13647631,10547580
13647631,146746
13647631,23689428
69838761,5556499
69838761,97316367
69838761,76830505
69838761,61912252
69838761,62034800
69838761,60953949
69838761,23434538
69838761,35645105
69838761,34721681
69838761,86852702
69838761,65681983
69838761,25274141
69838761,17427333
69838761,59741415
69838761,53582587
69838761,80101899
69838761,90448279
69838761,26096328
69838761,49032236
69838761,56910167
69838761,97584719
69838761,95113856
69838761,9349094
69838761,93854893
69838761,24701066
69838761,10547580
69838761,146746
69838761,23689428
5556499,97316367
5556499,76830505
5556499,61912252
5556499,62034800
5556499,60953949
5556499,23434538
5556499,35645105
5556499,34721681
5556499,86852702
5556499,65681983
5556499,25274141
5556499,17427333
5556499,59741415
5556499,53582587
5556499,80101899
5556499,90448279
5556499,26096328
5556499,49032236
5556499,56910167
5556499,97584719
5556499,95113856
5556499,9349094
5556499,93854893
5556499,24701066
5556499,10547580
5556499,146746
5556499,23689428
97316367,76830505
97316367,61912252
97316367,62034800
97316367,60953949
97316367,23434538
97316367,35645105
97316367,34721681
97316367,86852702
97316367,65681983
97316367,25274141
97316367,17427333
97316367,59741415
97316367,53582587
97316367,80101899
97316367,90448279
97316367,26096328
97316367,49032236
97316367,56910167
97316367,97584719
97316367,95113856
97316367,9349094
97316367,93854893
97316367,24701066
97316367,10547580
97316367,146746
97316367,23689428
76830505,61912252
76830505,62034800
76830505,60953949
76830505,23434538
76830505,35645105
76830505,34721681
76830505,86852702
76830505,65681983
76830505,25274141
76830505,17427333
76830505,59741415
76830505,53582587
76830505,80101899
76830505,90448279
76830505,26096328
76830505,49032236
76830505,56910167
76830505,97584719
76830505,95113856
76830505,9349094
76830505,93854893
76830505,24701066
76830505,10547580
76830505,146746
76830505,23689428
61912252,62034800
61912252,60953949
61912252,23434538
61912252,35645105
61912252,34721681
61912252,86852702
61912252,65681983
61912252,25274141
61912252,17427333
61912252,59741415
61912252,53582587
61912252,80101899
61912252,90448279
61912252,26096328
61912252,49032236
61912252,56910167
61912252,97584719
61912252,95113856
61912252,9349094
61912252,93854893
61912252,24701066
61912252,10547580
61912252,146746
61912252,23689428
62034800,60953949
62034800,23434538
62034800,35645105
62034800,34721681
62034800,86852702
62034800,65681983
62034800,25274141
62034800,17427333
62034800,59741415
62034800,53582587
62034800,80101899
62034800,90448279
62034800,26096328
62034800,49032236
62034800,56910167
62034800,97584719
62034800,95113856
62034800,9349094
62034800,93854893
62034800,24701066
62034800,10547580
62034800,146746
62034800,23689428
60953949,23434538
60953949,35645105
60953949,34721681
60953949,86852702
60953949,65681983
60953949,25274141
60953949,17427333
60953949,59741415
60953949,53582587
60953949,80101899
60953949,90448279
60953949,26096328
60953949,49032236
60953949,56910167
60953949,97584719
60953949,95113856
60953949,9349094
60953949,93854893
60953949,24701066
60953949,10547580
60953949,146746
60953949,23689428
23434538,35645105
23434538,34721681
23434538,86852702
23434538,25274141
23434538,17427333
23434538,59741415
23434538,53582587
23434538,80101899
23434538,26096328
23434538,49032236
23434538,56910167
23434538,97584719
23434538,95113856
23434538,9349094
23434538,93854893
23434538,24701066
23434538,10547580
23434538,146746
23434538,23689428
35645105,34721681
35645105,86852702
35645105,65681983
35645105,25274141
35645105,17427333
35645105,59741415
35645105,53582587
35645105,80101899
35645105,90448279
35645105,26096328
35645105,49032236
35645105,56910167
35645105,97584719
35645105,95113856
35645105,9349094
35645105,93854893
35645105,24701066
35645105,10547580
35645105,146746
35645105,23689428
34721681,86852702
34721681,65681983
34721681,25274141
34721681,17427333
34721681,59741415
34721681,53582587
34721681,80101899
34721681,90448279
34721681,26096328
34721681,49032236
34721681,56910167
34721681,97584719
34721681,95113856
34721681,9349094
34721681,93854893
34721681,24701066
34721681,10547580
34721681,146746
34721681,23689428
86852702,65681983
86852702,25274141
86852702,17427333
86852702,59741415
86852702,53582587
86852702,80101899
86852702,90448279
86852702,26096328
86852702,49032236
86852702,56910167
86852702,97584719
86852702,95113856
86852702,9349094
86852702,93854893
86852702,24701066
86852702,10547580
86852702,146746
86852702,23689428
65681983,25274141
65681983,17427333
65681983,59741415
65681983,53582587
65681983,80101899
65681983,26096328
65681983,49032236
65681983,56910167
65681983,97584719
65681983,95113856
65681983,9349094
65681983,93854893
65681983,24701066
65681983,10547580
65681983,146746
65681983,23689428
25274141,17427333
25274141,59741415
25274141,53582587
25274141,80101899
25274141,90448279
25274141,26096328
25274141,49032236
25274141,56910167
25274141,97584719
25274141,95113856
25274141,9349094
25274141,93854893
25274141,24701066
25274141,10547580
25274141,146746
25274141,23689428
17427333,59741415
17427333,53582587
17427333,80101899
17427333,90448279
17427333,26096328
17427333,49032236
17427333,56910167
17427333,97584719
17427333,95113856
17427333,9349094
17427333,93854893
17427333,24701066
17427333,10547580
17427333,146746
17427333,23689428
59741415,53582587
59741415,80101899
59741415,90448279
59741415,26096328
59741415,49032236
59741415,56910167
59741415,97584719
59741415,95113856
59741415,9349094
59741415,93854893
59741415,24701066
59741415,10547580
59741415,146746
59741415,23689428
53582587,80101899
53582587,90448279
53582587,26096328
53582587,49032236
53582587,56910167
53582587,97584719
53582587,95113856
53582587,9349094
53582587,93854893
53582587,24701066
53582587,10547580
53582587,146746
53582587,23689428
80101899,90448279
80101899,26096328
80101899,49032236
80101899,56910167
80101899,97584719
80101899,95113856
80101899,9349094
80101899,93854893
80101899,24701066
80101899,10547580
80101899,146746
80101899,23689428
90448279,26096328
90448279,49032236
90448279,56910167
90448279,97584719
90448279,95113856
90448279,9349094
90448279,93854893
90448279,24701066
90448279,10547580
90448279,146746
90448279,23689428
26096328,49032236
26096328,56910167
26096328,97584719
26096328,95113856
26096328,9349094
26096328,93854893
26096328,24701066
26096328,10547580
26096328,146746
26096328,23689428
49032236,56910167
49032236,97584719
49032236,95113856
49032236,9349094
49032236,93854893
49032236,24701066
49032236,10547580
49032236,146746
49032236,23689428
56910167,97584719
56910167,95113856
56910167,9349094
56910167,93854893
56910167,24701066
56910167,10547580
56910167,146746
56910167,23689428
97584719,95113856
97584719,9349094
97584719,93854893
97584719,24701066
97584719,10547580
97584719,146746
97584719,23689428
95113856,9349094
95113856,93854893
95113856,24701066
95113856,10547580
95113856,146746
95113856,23689428
9349094,93854893
9349094,24701066
9349094,10547580
9349094,146746
9349094,23689428
93854893,24701066
93854893,10547580
93854893,146746
93854893,23689428
24701066,10547580
24701066,146746
24701066,23689428
10547580,146746
10547580,23689428
146746,23689428
3611830,76794549
3611830,51531505
3611830,27354732
3611830,14920218
3611830,12289247
3611830,40318957
3611830,72714461
3611830,49684352
3611830,58092907
3611830,47075569
3611830,48461764
3611830,44179224
3611830,73941492
3611830,20409757
3611830,54941203
3611830,74850403
3611830,37469904
3611830,53208660
3611830,35261759
3611830,1344018
3611830,43387895
3611830,53262004
3611830,80696379
3611830,33158448
3611830,16691074
3611830,14152862
3611830,47349116
3611830,90590303
3611830,359563
3611830,86066372
3611830,45819647
3611830,24094258
3611830,50588353
3611830,4280258
76794549,51531505
76794549,27354732
76794549,14920218
76794549,12289247
76794549,40318957
76794549,72714461
76794549,49684352
76794549,58092907
76794549,47075569
76794549,48461764
76794549,44179224
76794549,73941492
76794549,20409757
76794549,54941203
76794549,74850403
76794549,37469904
76794549,53208660
76794549,35261759
76794549,1344018
76794549,43387895
76794549,53262004
76794549,80696379
76794549,33158448
76794549,16691074
76794549,14152862
76794549,47349116
76794549,90590303
76794549,359563
76794549,86066372
76794549,45819647
76794549,24094258
76794549,50588353
76794549,4280258
51531505,27354732
51531505,14920218
51531505,12289247
51531505,40318957
51531505,72714461
51531505,49684352
51531505,58092907
51531505,47075569
51531505,48461764
51531505,44179224
51531505,73941492
51531505,20409757
51531505,54941203
51531505,74850403
51531505,37469904
51531505,53208660
51531505,35261759
51531505,1344018
51531505,43387895
51531505,53262004
51531505,80696379
51531505,33158448
51531505,16691074
51531505,14152862
51531505,47349116
51531505,90590303
51531505,359563
51531505,86066372
51531505,45819647
51531505,24094258
51531505,50588353
51531505,4280258
27354732,14920218
27354732,12289247
27354732,40318957
27354732,72714461
27354732,49684352
27354732,58092907
27354732,47075569
27354732,48461764
27354732,44179224
27354732,73941492
27354732,20409757
27354732,54941203
27354732,74850403
27354732,37469904
27354732,53208660
27354732,35261759
27354732,1344018
27354732,43387895
27354732,53262004
27354732,80696379
27354732,33158448
27354732,16691074
27354732,14152862
27354732,47349116
27354732,90590303
27354732,359563
27354732,86066372
27354732,45819647
27354732,24094258
27354732,50588353
27354732,4280258
14920218,12289247
14920218,40318957
14920218,72714461
14920218,49684352
14920218,58092907
14920218,47075569
14920218,48461764
14920218,44179224
14920218,73941492
14920218,20409757
14920218,54941203
14920218,74850403
14920218,37469904
14920218,53208660
14920218,35261759
14920218,1344018
14920218,43387895
14920218,53262004
14920218,80696379
14920218,33158448
14920218,16691074
14920218,14152862
14920218,47349116
14920218,90590303
14920218,359563
14920218,86066372
14920218,45819647
14920218,24094258
14920218,50588353
